top - 15:53:35 up 54 min,  1 user,  load average: 0,23, 0,73, 0,97
Tasks: 191 total,   1 running, 145 sleeping,   0 stopped,   0 zombie
%Cpu0  : 23,3 us,  1,8 sy,  1,5 ni, 73,3 id,  0,2 wa,  0,0 hi,  0,0 si,  0,0 st
%Cpu1  : 23,5 us,  1,6 sy,  0,3 ni, 74,2 id,  0,2 wa,  0,0 hi,  0,1 si,  0,0 st
%Cpu2  : 22,9 us,  2,4 sy,  0,2 ni, 74,3 id,  0,2 wa,  0,0 hi,  0,1 si,  0,0 st
%Cpu3  : 24,3 us,  1,8 sy,  0,3 ni, 73,4 id,  0,2 wa,  0,0 hi,  0,0 si,  0,0 st
KiB Mem : 11322608 total,  7586080 free,  2111376 used,  1625152 buff/cache
  178 root      20   0       0      0      0 I   0,0  0,0   0:00.01 kworker/3:2
  180 root       0 -20       0      0      0 I   0,0  0,0   0:00.18 kworker/1:+
  181 root      20   0       0      0      0 S   0,0  0,0   0:00.00 scsi_eh_2
  182 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 scsi_tmf_2
  184 root       0 -20       0      0      0 I   0,0  0,0   0:00.09 kworker/3:+
  185 root       0 -20       0      0      0 I   0,0  0,0   0:00.10 kworker/0:+
  198 root       0 -20       0      0      0 I   0,0  0,0   0:00.10 kworker/2:+
  208 root      20   0       0      0      0 S   0,0  0,0   0:00.17 jbd2/sda1-8
  209 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 ext4-rsv-c+
  236 root      20   0   35400   3840   3488 S   0,0  0,0   0:00.21 systemd-jo+
  260 root      20   0   45904   4620   2992 S   0,0  0,0   0:00.61 systemd-ud+
  263 root      20   0       0      0      0 I   0,0  0,0   0:00.08 kworker/1:2
  309 root      20   0       0      0      0 I   0,0  0,0   0:00.00 kworker/2:3
  333 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop0
  334 root       0 -20       0      0      0 S   0,0  0,0   0:00.15 loop1
  337 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop2
  340 root       0 -20       0      0      0 S   0,0  0,0   0:00.00 loop3
  399 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 iprt-VBoxW+
  424 root       0 -20       0      0      0 I   0,0  0,0   0:00.00 ttm_swap
  795 message+  20   0   44280   5224   3584 S   0,0  0,0   0:00.76 dbus-daemon
  796 root      20   0  487216  14728  12432 S   0,0  0,1   0:00.27 NetworkMan+
  800 root      20   0  277428   6460   5704 S   0,0  0,1   0:00.14 accounts-d+
  803 root      20   0  413520   8500   6784 S   0,0  0,1   0:00.04 ModemManag+
  815 root      20   0    4396   1212   1128 S   0,0  0,0   0:00.29 acpid
  822 root      20   0   28624   3056   2692 S   0,0  0,0   0:00.04 systemd-lo+
  823 avahi     20   0   44916   3212   2888 S   0,0  0,0   0:00.05 avahi-daem+
  839 root      20   0   30540   3208   2928 S   0,0  0,0   0:00.01 cron
  840 syslog    20   0  256392   3352   2740 S   0,0  0,0   0:00.05 rsyslogd
  841 root      20   0  489336  26836  14932 S   0,0  0,2   0:02.80 snapd
  904 avahi     20   0   44784    336     12 S   0,0  0,0   0:00.00 avahi-daem+
  920 root      20   0  283548   8792   6208 S   0,0  0,1   0:00.30 polkitd
  926 root      20   0   19472    236      0 S   0,0  0,0   0:00.21 irqbalance
  940 root      20   0  276648   6088   5312 S   0,0  0,1   0:00.02 lightdm
  959 root      20   0  578600 166536  38668 S   0,0  1,5   4:06.77 Xorg
  963 root      20   0   16128   3648   2796 S   0,0  0,0   0:00.00 dhclient
 1015 nobody    20   0   54396   4432   4044 S   0,0  0,0   0:00.01 dnsmasq
 1122 root      20   0  228240   6356   5632 S   0,0  0,1   0:00.00 lightdm
 1156 dushn     20   0   45312   5112   4256 S   0,0  0,0   0:00.04 systemd
 1157 dushn     20   0   63528   2124      4 S   0,0  0,0   0:00.00 (sd-pam)
 1162 dushn     20   0   48008   4948   3756 S   0,0  0,0   0:00.32 upstart
 1260 dushn     20   0   51032    304      4 S   0,0  0,0   0:00.00 VBoxClient
 1261 dushn     20   0   51164   3396   3024 S   0,0  0,0   0:00.02 VBoxClient
 1267 dushn     20   0   51032   1372   1068 S   0,0  0,0   0:00.22 VBoxClient
 1425 dushn     20   0   34392    284     12 S   0,0  0,0   0:00.02 upstart-ud+
 1433 dushn     20   0   43744   4128   2788 S   0,0  0,0   0:04.34 dbus-daemon
 1445 dushn     20   0   87880  10144   9436 S   0,0  0,1   0:00.10 window-sta+
 1467 dushn     20   0   34324    304     12 S   0,0  0,0   0:01.50 upstart-db+
 1471 dushn     20   0   34324    300     12 S   0,0  0,0   0:00.05 upstart-db+
 1476 dushn     20   0  668696  51400  41384 S   0,0  0,5   0:02.50 bamfdaemon
 1485 dushn     20   0   42816    392     12 S   0,0  0,0   0:00.02 upstart-fi+
 1487 dushn     20   0  347172   7288   5260 S   0,0  0,1   0:07.86 ibus-daemon
 1489 dushn     20   0  206740   6732   5992 S   0,0  0,1   0:00.07 gnome-keyr+
 1508 dushn     20   0  338012   5836   5316 S   0,0  0,1   0:00.02 at-spi-bus+
 1520 dushn     20   0   42896   3944   3480 S   0,0  0,0   0:00.35 dbus-daemon
